dataset,method,test_env,seed,train_acc,test_acc,best_test_acc,p_train,p_test
colored_mnist,chip_clf,all,9,0.8038268479457034,0.1081882911392405,0.5117681962025317,0.9,0.1
colored_mnist,chip_clf,all,7,0.5387237917766896,0.49406645569620256,0.5593354430379747,0.9,0.1
colored_mnist,chip_clf,all,0,0.7292721659135717,0.4345332278481013,0.502373417721519,0.9,0.1
colored_mnist,chip_clf,all,1,0.5206723081023454,0.5556764240506329,0.5668512658227848,0.9,0.1
colored_mnist,chip_clf,all,6,0.7223314232409381,0.39022943037974683,0.5027689873417721,0.9,0.1
colored_mnist,chip_clf,all,8,0.5279017857142857,0.48635284810126583,0.5152294303797469,0.9,0.1
colored_mnist,chip_clf,all,3,0.7944040955510984,0.2719541139240506,0.49475870253164556,0.9,0.1
colored_mnist,chip_clf,all,4,0.8218117004264393,0.10067246835443038,0.49812104430379744,0.9,0.1
colored_mnist,chip_clf,all,5,0.7304326581802449,0.2355617088607595,0.5095925632911392,0.9,0.1
colored_mnist,chip_clf,all,2,0.77738539445629,0.11115506329113924,0.5117681962025317,0.9,0.1
